rank,company,headquarters,state,subtype,industries
189,Salt River Project,"Tempe, Arizona",Arizona,company,Utilities
190,Smith & Nephew,"Memphis, Tennessee",Tennessee,company,Health Care Equipment & Services
191,Analog Devices,"Norwood, Massachusetts",Massachusetts,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
192,Juniper Networks,"Sunnyvale, California",California,company,"IT, Internet, Software & Services"
193,Marathon Petroleum,"Findlay, Ohio",Ohio,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
194,Unilever,"Englewood Cliffs, New Jersey",New Jersey,company,Packaged Goods
195,Activision Blizzard,"Santa Monica, California",California,company,"IT, Internet, Software & Services"
196,BNSF Railway,"Fort Worth, Texas",Texas,company,Transportation and Logistics
197,American Electric Power,"Columbus, Ohio",Ohio,company,Utilities
198,Texas Instruments,"Dallas, Texas",Texas,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
199,Gartner,"Stamford, Connecticut",Connecticut,company,Professional Services
200,ICON,"North Wales, Pennsylvania",Pennsylvania,company,Drugs & Biotechnology
201,Takeda Pharmaceutical,"Deerfield, Illinois",Illinois,company,Drugs & Biotechnology
202,E. & J. Gallo Winery,"Modesto, California",California,company,"Food, Soft Beverages, Alcohol & Tobacco"
203,State of Idaho,"Boise, Idaho",Idaho,company,Government Services
204,Skanska,"New York, New York",New York,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
205,Clayton Homes,"Maryville, Tennessee",Tennessee,company,"Engineering, Manufacturing"
206,General Motors,"Detroit, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
207,Toyota USA,"Plano, Texas",Texas,company,Automotive (Automotive and Suppliers)
208,Levy,"Chicago, Illinois",Illinois,company,Restaurants
209,It Works,"Lawrenceville, Georgia",Georgia,company,Packaged Goods
210,Discover Financial Services,"Riverwoods, Illinois",Illinois,company,Banking and Financial Services
211,ALDI,"Batavia, Illinois",Illinois,company,Retail and Wholesale
212,American Family Insurance,"Madison, Wisconsin",Wisconsin,company,Insurance
213,Blue Cross & Blue Shield of Michigan,"Detroit, Michigan",Michigan,company,Insurance
214,Tuesday Morning,"Dallas, Texas",Texas,company,Retail and Wholesale
215,Charles Schwab,"San Francisco, California",California,company,Banking and Financial Services
216,Marriott International,"Bethesda, Maryland",Maryland,company,Travel & Leisure
217,NetApp,"Sunnyvale, California",California,company,"IT, Internet, Software & Services"
218,Sysco,"Houston, Texas",Texas,company,"Food, Soft Beverages, Alcohol & Tobacco"
219,Honda Motor,"Torrance, California",California,company,Automotive (Automotive and Suppliers)
220,Anthem,"Indianapolis, Indiana",Indiana,company,Insurance
221,SAIC,"McLean, Virginia",Virginia,company,Business Services & Supplies
222,Medtronic,"Minneapolis, Minnesota",Minnesota,company,Health Care Equipment & Services
223,Kimpton Hotels & Restaurants,"San Francisco, California",California,company,Travel & Leisure
224,KIA Motors,"Irvine, California",California,company,Automotive (Automotive and Suppliers)
225,Northwestern Mutual,"Milwaukee, Wisconsin",Wisconsin,company,Insurance
226,City and County of San Francisco,"San Francisco, California",California,company,Government Services
227,Chevron,"San Ramon, California",California,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
228,Mars,"McLean, Virginia",Virginia,company,"Food, Soft Beverages, Alcohol & Tobacco"
229,Los Angeles Department of Water and Power (LADWP),"Los Angeles, California",California,company,Government Services
230,State of Tennessee,"Nashville, Tennessee",Tennessee,company,Government Services
231,Daymon,"Stamford, Connecticut",Connecticut,company,Professional Services
232,Eastman Chemical,"Kingsport, Tennessee",Tennessee,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
233,Warner Bros. Entertainment,"Burbank, California",California,company,Media & Advertising
234,Norfolk Southern,"Norfolk, Virginia",Virginia,company,Transportation and Logistics
235,People's United Bank,"Bridgeport, Connecticut",Connecticut,company,Banking and Financial Services
236,Columbia Sportswear,"Portland, Oregon",Oregon,company,"Clothing, Shoes, Sports Equipment"
237,DowDuPont,"Midland, Michigan",Michigan,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
238,Texas Roadhouse,"Louisville, Kentucky",Kentucky,company,Restaurants
239,Hawaiian Airlines,"Honolulu, Hawaii",Hawaii,company,Transportation and Logistics
240,Synchrony Financial,"Stamford, Connecticut",Connecticut,company,Banking and Financial Services
241,Gulfstream Aerospace,"Savannah, Georgia",Georgia,company,Aerospace & Defense
242,TIAA,"New York, New York",New York,company,Banking and Financial Services
243,Palm Beach County,"West Palm Beach, Florida",Florida,company,Government Services
244,TNG,"Smyrna, Georgia",Georgia,company,Retail and Wholesale
245,WinCo Foods,"Boise, Idaho",Idaho,company,Retail and Wholesale
246,JLL,"Chicago, Illinois",Illinois,company,Business Services & Supplies
247,Sherwin-Williams,"Cleveland, Ohio",Ohio,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
248,Set and Service Resources,"Raleigh, North Carolina",North Carolina,company,Business Services & Supplies
249,Tenneco,"Lake Forest, Illinois",Illinois,company,Automotive (Automotive and Suppliers)
250,Deloitte,"New York, New York",New York,company,Professional Services
251,DTE Energy,"Detroit, Michigan",Michigan,company,Utilities
252,General Dynamics,"Falls Church, Virginia",Virginia,company,Aerospace & Defense
253,IDEXX Laboratories,"Westbrook, Maine",Maine,company,Drugs & Biotechnology
254,General Electric,"Boston, Massachusetts",Massachusetts,company,"Engineering, Manufacturing"
255,PSEG (Public Service Enterprise Group),"Newark, New York",New York,company,Utilities
256,Rich's Products,"Buffalo, New York",New York,company,"Food, Soft Beverages, Alcohol & Tobacco"
257,NVIDIA,"Santa Clara, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
258,Visa,"San Francisco, California",California,company,Banking and Financial Services
259,Prudential Financial,"Newark, New Jersey",New Jersey,company,Banking and Financial Services
260,IKEA,"Conshohocken, Pennsylvania",Pennsylvania,company,Retail and Wholesale
261,J. Crew Group,"New York, New York",New York,company,"Clothing, Shoes, Sports Equipment"
262,TDS (Telephone and Data Systems),"Chicago, Illinois",Illinois,company,"Telecommunications Services, Cable Supplier"
263,USI Insurance,"Valhalla, New York",New York,company,Insurance
264,PRA Health Sciences,"Raleigh, North Carolina",North Carolina,company,Drugs & Biotechnology
265,VF,"Greensboro, North Carolina",North Carolina,company,"Clothing, Shoes, Sports Equipment"
266,Arvest Bank,"Lowell, Arkansas",Arkansas,company,Banking and Financial Services
267,Barnes & Noble,"New York, New York",New York,company,Retail and Wholesale
268,County of San Diego,"San Diego, California",California,company,Government Services
269,Air Products & Chemicals,"Allentown, Pennsylvania",Pennsylvania,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
270,Under Armour,"Baltimore, Maryland",Maryland,company,"Clothing, Shoes, Sports Equipment"
271,Xcel Energy,"Minneapolis, Minnesota",Minnesota,company,Utilities
272,CSL,"King of Prussia, Pennsylvania",Pennsylvania,company,Drugs & Biotechnology
273,General Services Administration,"Washington, District of Columbia",District of Columbia,company,Government Services
274,Coca-Cola,"Atlanta, Georgia",Georgia,company,"Food, Soft Beverages, Alcohol & Tobacco"
275,Hy-Vee,"West Des Moines, Iowa",Iowa,company,Retail and Wholesale
276,NBCUniversal Media,"New York, New York",New York,company,Media & Advertising
277,MITRE Corporation,"Bedford, Massachusetts",Massachusetts,company,Professional Services
278,Nestle,"Glendale, California",California,company,"Food, Soft Beverages, Alcohol & Tobacco"
279,Amtrak,"Washington, District of Columbia",District of Columbia,company,Transportation and Logistics
280,United Technologies,"Farmington, Connecticut",Connecticut,company,"Engineering, Manufacturing"
281,U.S. Department of Energy,"Washington, District of Columbia",District of Columbia,company,Government Services
282,Hot Topic,"City of Industry, California",California,company,"Clothing, Shoes, Sports Equipment"
283,Cerner,"North Kansas City, Missouri",Missouri,company,Health Care Equipment & Services
284,Fresno County,"Fresno, California",California,company,Government Services
285,Kiewit Corporation,"Omaha, Nebraska",Nebraska,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
286,Dell,"Hopkinton, Massachusetts",Massachusetts,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
287,H&M,"New York, New York",New York,company,"Clothing, Shoes, Sports Equipment"
288,Lincoln Financial,"Radnor, Pennsylvania",Pennsylvania,company,Banking and Financial Services
289,Federal Reserve System,"Washington, District of Columbia",District of Columbia,company,Government Services
290,Stater Bros,"San Bernardino, California",California,company,Retail and Wholesale
291,Mitsubishi,"Cypress, California",California,company,Automotive (Automotive and Suppliers)
292,Averitt Express,"Cookeville, Tennessee",Tennessee,company,Transportation and Logistics
293,Crete Carrier,"Lincoln, Nebraska",Nebraska,company,Transportation and Logistics
294,Davey Tree Expert,"Kent, Ohio",Ohio,company,Business Services & Supplies
295,City of Philadelphia,"Philadelphia, Pennsylvania",Pennsylvania,company,Government Services
296,Altria Group,"Richmond, Virginia",Virginia,company,"Food, Soft Beverages, Alcohol & Tobacco"
297,Southwire,"Carrollton, Georgia",Georgia,company,"Engineering, Manufacturing"
298,BAE Systems,"Arlington, Washington",Washington,company,Aerospace & Defense
299,Aerotek,"Hanover, Maryland",Maryland,company,Business Services & Supplies
300,JM Smucker,"Orrville, Ohio",Ohio,company,"Food, Soft Beverages, Alcohol & Tobacco"
301,Century 21 Real Estate,"Madison, New Jersey",New Jersey,company,Business Services & Supplies
302,Praxair,"Danbury, Connecticut",Connecticut,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
303,Cargill,"Minneapolis, Minnesota",Minnesota,company,"Food, Soft Beverages, Alcohol & Tobacco"
304,Parsons,"Pasadena, California",California,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
305,Parker-Hannifin,"Cleveland, Ohio",Ohio,company,"Engineering, Manufacturing"
306,Independence Blue Cross,"Philadelphia, Pennsylvania",Pennsylvania,company,Insurance
