"year","list","position","rank","name","last_name","net_worth.millions","age","source","industry","gender","squareImage","url.bio.forbes","url.image"
2016,"India 50",57,57,"Sunil Vaswani","Vaswani",2000,55,"diversified","Diversified","M","//specials-images.forbesimg.com/imageserve/5602cdb6e4b0ffa7afe4f94a/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=3&cropY2=746","http://www.forbes.com/profile/sunil-vaswani","http://i.forbesimg.com/media/lists/people/sunil-vaswani_200x200.jpg"
2016,"India 50",58,58,"Rajendra Agarwal","Agarwal",1950,59,"pharmaceuticals","Healthcare","M","http://specials-images.forbesimg.com/imageserve/57e3f9944bbe6f24d1f88166/416x416.jpg?background=000000&cropX1=47&cropX2=720&cropY1=19&cropY2=693","http://www.forbes.com/profile/rajendra-agarwal","http://i.forbesimg.com/media/lists/people/rajendra-agarwal_200x200.jpg"
2016,"India 50",59,59,"MG George Muthoot","Muthoot",1920,68,"Financial services",NA,"M","http://specials-images.forbesimg.com/imageserve/57dc476b31358e16c589a73f/416x416.jpg?background=000000&cropX1=124&cropX2=739&cropY1=187&cropY2=803","http://www.forbes.com/profile/mg-george-muthoot","http://i.forbesimg.com/media/lists/people/mg-george-muthoot_200x200.jpg"
2016,"India 50",60,60,"Sunny Varkey","Varkey",1900,61,"education","Service","M","//specials-images.forbesimg.com/imageserve/59d3db1aa7ea436b47b3627e/416x416.jpg?background=000000&cropX1=1997&cropX2=3163&cropY1=446&cropY2=1612","http://www.forbes.com/profile/sunny-varkey","http://i.forbesimg.com/media/lists/people/sunny-varkey_200x200.jpg"
2016,"India 50",61,61,"Rajesh Mehta","Mehta",1880,54,"Gold","Metals & Mining","M","//specials-images.forbesimg.com/imageserve/59cc1239a7ea434a34f46c2a/416x416.jpg?background=000000&cropX1=17&cropX2=2592&cropY1=614&cropY2=3192","http://www.forbes.com/profile/rajesh-mehta","http://i.forbesimg.com/media/lists/people/rajesh-mehta_200x200.jpg"
2016,"India 50",62,62,"N.R. Narayana Murthy","Murthy",1870,71,"software services","Technology","M","//specials-images.forbesimg.com/imageserve/5a7f3fc0a7ea431690132ab3/416x416.jpg?background=000000&cropX1=1510&cropX2=3587&cropY1=0&cropY2=2076","http://www.forbes.com/profile/nr-narayana-murthy","http://i.forbesimg.com/media/lists/people/nr-narayana-murthy_200x200.jpg"
2016,"India 50",63,63,"Anil Agarwal","Agarwal",1860,64,"mining, metals","Metals & Mining","M","//specials-images.forbesimg.com/imageserve/5a7f094931358e4955ad1774/416x416.jpg?background=000000&cropX1=1189&cropX2=3858&cropY1=0&cropY2=2667","http://www.forbes.com/profile/anil-agarwal","http://i.forbesimg.com/media/lists/people/anil-agarwal_200x200.jpg"
2016,"India 50",64,64,"Mannalal Agrawal","Agrawal",1850,71,"pharmaceuticals","Healthcare","M","http://specials-images.forbesimg.com/imageserve/56015f09e4b0ffa7afe4ee33/416x416.jpg?background=000000&cropX1=29&cropX2=641&cropY1=163&cropY2=775","http://www.forbes.com/profile/mannalal-agrawal","http://i.forbesimg.com/media/lists/people/mannalal-agrawal_200x200.jpg"
2016,"India 50",65,65,"Kiran Mazumdar-Shaw","Mazumdar-Shaw",1830,65,"biotechnology","Healthcare","F","//specials-images.forbesimg.com/imageserve/5a7f280a31358e4955ad1901/416x416.jpg?background=000000&cropX1=1272&cropX2=3866&cropY1=0&cropY2=2592","http://www.forbes.com/profile/kiran-mazumdar-shaw","http://i.forbesimg.com/media/lists/people/kiran-mazumdar-shaw_200x200.jpg"
2016,"India 50",66,66,"Hasmukh Chudgar","Chudgar",1800,84,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/5a7f2412a7ea43169013296c/416x416.jpg?background=000000&cropX1=86&cropX2=842&cropY1=76&cropY2=832","http://www.forbes.com/profile/hasmukh-chudgar","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
2016,"India 50",67,67,"Mofatraj Munot","Munot",1790,73,"real estate","Real Estate","M","http://specials-images.forbesimg.com/imageserve/7c6c5d8021800a5b72c6170da704db3c/416x416.jpg?background=000000&cropX1=56&cropX2=567&cropY1=31&cropY2=542","http://www.forbes.com/profile/mofatraj-munot","http://i.forbesimg.com/media/lists/people/mofatraj-munot_200x200.jpg"
2016,"India 50",68,68,"Lachhman Das Mittal","Mittal",1780,87,"tractors","Automotive","M","//specials-images.forbesimg.com/imageserve/59cc1536a7ea434a34f46d14/416x416.jpg?background=000000&cropX1=15&cropX2=2304&cropY1=5&cropY2=2296","http://www.forbes.com/profile/lachhman-das-mittal","http://i.forbesimg.com/media/lists/people/lachhman-das-mittal_200x200.jpg"
2016,"India 50",69,69,"Glenn Saldanha","Saldanha",1770,47,"Pharmaceuticals","Healthcare","M","http://specials-images.forbesimg.com/imageserve/57d88e3f31358e16c5898fef/416x416.jpg?background=000000&cropX1=37&cropX2=689&cropY1=5&cropY2=658","http://www.forbes.com/profile/glenn-saldanha","http://i.forbesimg.com/media/lists/people/glenn-saldanha_200x200.jpg"
2016,"India 50",70,70,"Abhay Firodia","Firodia",1760,73,"automobiles","Automotive","M","//specials-images.forbesimg.com/imageserve/59cc11ab31358e542c02fafe/416x416.jpg?background=000000&cropX1=15&cropX2=2141&cropY1=15&cropY2=2140","http://www.forbes.com/profile/abhay-firodia","http://i.forbesimg.com/media/lists/people/abhay-firodia_200x200.jpg"
2016,"India 50",71,71,"Nirav Modi","Modi",1740,47,"diamond jewelry","Fashion & Retail","M","//specials-images.forbesimg.com/imageserve/5a7f3f07a7ea431690132aab/416x416.jpg?background=000000&cropX1=655&cropX2=3154&cropY1=1359&cropY2=3858","http://www.forbes.com/profile/nirav-modi","http://i.forbesimg.com/media/lists/people/nirav-modi_200x200.jpg"
2016,"India 50",72,72,"Ramesh Juneja","Juneja",1720,62,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/59cc15df4bbe6f37dd9f9282/416x416.jpg?background=000000&cropX1=479&cropX2=2410&cropY1=4&cropY2=1936","http://www.forbes.com/profile/ramesh-juneja","http://i.forbesimg.com/media/lists/people/ramesh-juneja_200x200.jpg"
2016,"India 50",73,73,"Murugappa Family","Murugappa Family",1700,65,"Diversified","Diversified",NA,"//specials-images.forbesimg.com/imageserve/59cc137431358e542c02fbd5/416x416.jpg?background=000000&cropX1=324&cropX2=3132&cropY1=87&cropY2=2893","http://www.forbes.com/profile/murugappa-family","http://i.forbesimg.com/media/lists/people/murugappa-family_200x200.jpg"
2016,"India 50",74,74,"Ranjan Pai","Pai",1690,45,"education","Service","M","//specials-images.forbesimg.com/imageserve/57d88f80a7ea430a8a19de0f/416x416.jpg?background=000000&cropX1=23&cropX2=724&cropY1=106&cropY2=807","http://www.forbes.com/profile/ranjan-pai","http://i.forbesimg.com/media/lists/people/ranjan-pai_200x200.jpg"
2016,"India 50",75,75,"Harsh Goenka","Goenka",1670,60,"diversified","Diversified","M","//specials-images.forbesimg.com/imageserve/57d88fc5a7ea430a8a19de14/416x416.jpg?background=000000&cropX1=0&cropX2=596&cropY1=205&cropY2=801","http://www.forbes.com/profile/harsh-goenka","http://i.forbesimg.com/media/lists/people/harsh-goenka_200x200.jpg"
2016,"India 50",76,76,"Jitendra Virwani","Virwani",1660,52,"real estate","Real Estate","M","//specials-images.forbesimg.com/imageserve/59cc144ea7ea434a34f46ccd/416x416.jpg?background=000000&cropX1=626&cropX2=3974&cropY1=0&cropY2=3346","http://www.forbes.com/profile/jitendra-virwani","http://i.forbesimg.com/media/lists/people/jitendra-virwani_200x200.jpg"
2016,"India 50",77,77,"Salil Singhal","Singhal",1650,70,"agrochemicals","Manufacturing","M","http://specials-images.forbesimg.com/imageserve/55f9566ae4b0ffa7afe4a261/416x416.jpg?background=000000&cropX1=37&cropX2=704&cropY1=63&cropY2=730","http://www.forbes.com/profile/salil-singhal","http://i.forbesimg.com/media/lists/people/salil-singhal_200x200.jpg"
2016,"India 50",78,78,"P.N.C. Menon","Menon",1640,69,"real estate","Real Estate","M","//specials-images.forbesimg.com/imageserve/5a7fd965a7ea43169013324c/416x416.jpg?background=000000&cropX1=2857&cropX2=5247&cropY1=8&cropY2=2396","http://www.forbes.com/profile/pnc-menon","http://i.forbesimg.com/media/lists/people/pnc-menon_200x200.jpg"
